puuid,assists,deaths,kills,bountyLevel,champExperience,champLevel,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,inhibitorTakedowns,inhibitorsLost,killingSprees,pentaKills,quadraKills,timePlayed,totalTimeSpentDead,wardsKilled,wardsPlaced,baronKills,acesBefore15Minutes,controlWardsPlaced,damagePerMinute,goldPerMinute,killParticipation,laneMinionsFirst10Minutes,maxCsAdvantageOnLaneOpponent,skillshotsHit,damageTakenOnTeamPercentage,gameLength,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,teamEarlySurrendered,win,freshBlood,hotStreak,Churner
T0gjFaRg0zPNzUZNh1GnojxPhdLoZpJSWrfrxcmO_6jZ1AQ_WzCjiyr8dL_oTxqsjLZPvQBTc3MNBw,5.9411764705882355,7.588235294117647,4.470588235294118,0.8823529411764706,11332.117647058823,13.235294117647058,2347.3529411764707,6126.294117647059,2347.3529411764707,17750.41176470588,0.4117647058823529,0.8235294117647058,0.8823529411764706,0.0,0.0,1603.2941176470588,217.35294117647058,2.1176470588235294,10.823529411764707,0.0,0.058823529411764705,1.5294117647058822,2939.832995356235,341.38112871589544,0.4374776272268504,38.11764705882353,4.882352941176471,34.0,0.21727767091666544,1603.9411320771662,11.76,5.88,0.0,5.88,0.0,23.53,0.0,47.06,0.0,0.0,True
T6s2ezZg1LZVm2qTvG4byxSW03aqOqjREoe4ynICGYBv5Y_pcMvyWhPaJccVyjzKX0_9IFyQVBLXgw,8.684782608695652,6.576086956521739,4.793478260869565,0.6521739130434783,14634.945652173914,15.01086956521739,3408.4347826086955,8368.271739130434,3408.4347826086955,29396.804347826088,0.4891304347826087,1.0217391304347827,1.076086956521739,0.0,0.0,1843.1304347826087,215.66304347826087,1.358695652173913,5.717391304347826,0.021739130434782608,0.0,0.25,496.24400545291707,350.0090214314001,0.4513874182881208,43.380434782608695,18.153804347890876,24.858695652173914,0.21742006392967342,1843.8828216820643,6.52,7.61,3.26,6.52,0.0,28.26,0.0,53.26,0.0,0.0,False
TZ0CcKiah5eK9I7kmkw2Nw2bazM_YakZihniLfhWorp4OcEtDhDPe7609MoenSjnese2Jx04wXScvA,9.373737373737374,4.545454545454546,6.505050505050505,1.5151515151515151,13816.666666666666,14.373737373737374,2621.909090909091,5581.393939393939,2621.909090909091,12624.262626262625,0.42424242424242425,0.6565656565656566,1.404040404040404,0.0,0.04040404040404041,1643.2727272727273,138.11111111111111,1.4646464646464648,10.909090909090908,0.010101010101010102,0.10101010101010101,2.494949494949495,746.1750360942809,429.72483725542884,0.4791586749149924,44.313131313131315,28.121717176955155,65.11111111111111,0.17421668007288776,1644.0344850031324,12.12,14.14,9.09,4.04,0.0,45.45,0.0,55.56,0.0,100.0,False
U4DhUxiwKuCWOxAhnPmyxra5DJIKBcqyRMtTKbFxMAQEhdnDlGbg8TXc1kNxcYX6iUUp3Ige_YgmwQ,9.678571428571429,6.880952380952381,6.75,1.0357142857142858,13154.059523809523,14.119047619047619,3017.4285714285716,7535.190476190476,3017.4285714285716,16029.47619047619,0.36904761904761907,0.9642857142857143,1.6547619047619047,0.011904761904761904,0.07142857142857142,1696.4285714285713,209.16666666666666,3.0238095238095237,10.892857142857142,0.047619047619047616,0.05952380952380952,1.0357142857142858,704.0334091036794,414.7789675909267,0.5166995462731515,32.76190476190476,19.627976196862402,56.11904761904762,0.1966270030789984,1697.1613973317917,8.33,11.9,9.52,7.14,1.19,32.14,1.19,54.76,0.0,0.0,False
UMjUxcJHtpNhtn631Etrj69oLC9S4yHeolAFRSHAC4wVO1NSkyxvDoEvIxDpM1sMlNnJCAa5wWRTGg,8.194444444444445,7.916666666666667,8.833333333333334,0.4722222222222222,13039.638888888889,14.166666666666666,3986.8333333333335,11071.638888888889,3986.8333333333335,13928.333333333334,0.5,1.4166666666666667,2.138888888888889,0.0,0.0,1757.7222222222222,239.80555555555554,1.3333333333333333,7.333333333333333,0.08333333333333333,0.027777777777777776,0.3333333333333333,1897.5096015379168,411.4562462259692,0.5876299967270524,45.19444444444444,21.333333330021965,32.97222222222222,0.20303422018255676,1758.5821906860936,16.67,5.56,5.56,11.11,2.78,19.44,2.78,47.22,0.0,0.0,True
Uah5fjKawwj_OqY-Z58-bFb4sCajrNXYX_sWJ88PUzwEtRVCBSk62Y0lI78NQv_-1oixPwz91Bk5jw,8.472727272727273,6.527272727272727,5.963636363636364,0.6727272727272727,13431.854545454546,14.327272727272728,1219.4,16593.436363636363,1219.4,23359.454545454544,0.32727272727272727,1.3636363636363635,1.3454545454545455,0.0,0.0,1815.0,210.27272727272728,1.9454545454545455,7.509090909090909,0.18181818181818182,0.0,1.309090909090909,1650.0578065971192,365.38320507454813,0.5162319683240001,14.763636363636364,22.43000002232465,34.127272727272725,0.22575895459973086,1815.636566248747,10.91,5.45,1.82,7.27,0.0,18.18,0.0,36.36,0.0,0.0,True
UenXRARzGUs1rkWzx7wc51hnorJ-61pg692INyRrMTtaCj5H9cnguer5v30LEdjpmMI5U_wr_tDByw,7.625,8.125,6.0,0.5,12376.75,13.875,3562.875,9104.625,3562.875,12155.875,0.125,0.875,1.5,0.0,0.0,1791.375,232.625,1.25,7.75,0.25,0.0,0.0,3025.1049534251583,381.02995549865386,0.46647593225983053,50.75,32.975000005215406,46.375,0.17223174941131703,1792.123480503864,0.0,0.0,12.5,12.5,0.0,37.5,0.0,50.0,0.0,0.0,True
UmUyqiOVKXg-mTAZIEgv9_HK1fMRoGcMsG6OgGshc4djzivaL0NWgSYORQYkyvBjL2i7Zi2ba9OvRQ,14.82,6.83,9.82,1.14,17278.11,15.95,2432.56,5717.57,2432.56,19195.0,0.6,0.82,2.44,0.0,0.04,1265.28,182.84,0.24,1.3,0.02,0.67,0.17,1189.604668964412,655.3339072919956,0.5764817363579484,24.68,20.126000007390974,40.53,0.20030928095077416,1265.965140128116,21.0,7.0,21.0,8.0,0.0,19.0,0.0,60.0,0.0,0.0,False
Vss2EJw3V6tnJLV2gM5dPA22QB4iFAXeKRbZ9WY41kWTgPVfiPkjtFHpk8FIWYMXsTw3GV6Z-fW-1A,8.683673469387756,9.112244897959183,8.63265306122449,0.673469387755102,15647.15306122449,15.581632653061224,4835.857142857143,12048.295918367347,4835.857142857143,29239.816326530614,0.45918367346938777,1.153061224489796,2.1020408163265305,0.0,0.02040816326530612,1885.6122448979593,289.9387755102041,1.2448979591836735,7.5,0.061224489795918366,0.07142857142857142,0.35714285714285715,822.5778741385117,431.7025491006886,0.447558602573385,45.95918367346939,30.937755105142692,34.183673469387756,0.21757740494190422,1886.3011830082107,11.22,13.27,4.08,3.06,0.0,16.33,0.0,57.14,0.0,0.0,False
Vx9HScZOr9OmmmT3V7h5zp45-9MBRU9dd9cPwTTCNeUPENDLy3_2DoKyvlgKiC3dVXjo156xMndQoA,7.15,5.95,8.275,1.175,13834.725,14.5,4122.0,10282.85,4122.0,21963.125,0.9,0.625,1.875,0.0,0.0,1761.95,189.35,1.55,10.325,0.1,0.0,1.875,2326.7823413888073,426.001056691273,0.5757605490726994,50.0,33.417500004917386,23.975,0.18977659527365498,1762.9296785451775,7.5,7.5,7.5,7.5,0.0,25.0,0.0,55.0,0.0,0.0,False
WHLiHJbClXCMScNOGqFVjlUWdvdvh4C--lZJdZ3-5Q9s_CC78RtLvtcXciuytnbZ2XjjbNDc3x0ylQ,11.051020408163266,7.295918367346939,5.612244897959184,1.1326530612244898,12852.530612244898,14.112244897959183,2272.326530612245,6811.183673469388,2272.326530612245,14791.602040816326,0.47959183673469385,1.0714285714285714,1.2959183673469388,0.0,0.0,1840.561224489796,207.79591836734693,4.755102040816326,12.938775510204081,0.061224489795918366,0.01020408163265306,0.7040816326530612,652.0682738958676,373.5574641514363,0.4901390155485883,21.428571428571427,17.326530613765424,27.29591836734694,0.1704699002656421,1841.2451704704588,14.29,7.14,4.08,4.08,0.0,24.49,0.0,53.06,100.0,0.0,False
